wine_type,wine_id,food_item,food_id
Barbera,1,roast lamb,32
Syrah/Shiraz,23,beef stew,7
Torrontés,25,Sichuan noodles,1
Grüner Veltliner,10,alfredo pasta,3
Grüner Veltliner,10,oysters,29
Grüner Veltliner,10,vegetable curry,37
Champagne,4,fish tacos,18
Cabernet Sauvignon,2,grilled ribeye,22
Ice Wine,11,mixed nuts,26
Sauvignon Blanc,22,shrimp scampi,33
Pinot Noir,16,gazpacho,20
Pinot Noir,16,gazpacho,20
Grenache,9,caprese salad,8
Gamay (Beaujolais),7,beef stew,7
Grüner Veltliner,10,cream of mushroom soup,16
Barbera,1,roast lamb,32
Albariño,0,grilled salmon,23
Pinot Noir,16,citrus salad,15
Albariño,0,oysters,29
Madeira,12,sorbet,35
Syrah/Shiraz,23,smoked sausage,34
Grenache,9,carbonara,9
Nebbiolo,15,Thai curry,2
Madeira,12,cheese platter,11
Grüner Veltliner,10,mushroom risotto,27
Gewürztraminer,8,Indian vindaloo,0
Malbec,13,bbq brisket,5
Champagne,4,olives and cheese,28
Torrontés,25,Sichuan noodles,1
Albariño,0,mushroom risotto,27
Malbec,13,bbq brisket,5
Sauternes,21,chocolate mousse,14
Grüner Veltliner,10,beef stew,7
Chardonnay,5,carbonara,9
Ice Wine,11,cheesecake,12
Malbec,13,bbq brisket,5
Sauvignon Blanc,22,vegetable curry,37
Grüner Veltliner,10,fish tacos,18
Cava,3,mixed nuts,26
Ice Wine,11,mushroom risotto,27
Gewürztraminer,8,Sichuan noodles,1
Ice Wine,11,fish tacos,18
Torrontés,25,Thai curry,2
Torrontés,25,Indian vindaloo,0
Champagne,4,mac and cheese,25
Cava,3,grilled salmon,23
Zinfandel,28,bbq brisket,5
Sangiovese,20,duck à l’orange,17
Albariño,0,vegetable curry,37
Pinot Noir,16,roast lamb,32
Sangiovese,20,vegetable curry,37
Champagne,4,shrimp scampi,33
Sauternes,21,duck à l’orange,17
Pinot Noir,16,cheese platter,11
Torrontés,25,Indian vindaloo,0
Zinfandel,28,grilled ribeye,22
Nebbiolo,15,Indian vindaloo,0
Cabernet Sauvignon,2,bbq ribs,6
Sauternes,21,grilled ribeye,22
Torrontés,25,Thai curry,2
Sauvignon Blanc,22,mushroom risotto,27
Albariño,0,vegetable curry,37
Viognier,26,cream of mushroom soup,16
Ice Wine,11,grilled salmon,23
Champagne,4,mixed nuts,26
Gewürztraminer,8,gazpacho,20
Pinot Noir,16,citrus salad,15
Sauvignon Blanc,22,lemon tart,24
Viognier,26,bacon burger,4
Zinfandel,28,bbq brisket,5
Riesling (dry),19,gazpacho,20
Champagne,4,charcuterie board,10
Grenache,9,grilled ribeye,22
Viognier,26,pork tenderloin,30
Ice Wine,11,lemon tart,24
Syrah/Shiraz,23,bbq brisket,5
Malbec,13,roast lamb,32
Chardonnay,5,fondue,19
Viognier,26,duck à l’orange,17
Madeira,12,cheese platter,11
Gewürztraminer,8,mac and cheese,25
Malbec,13,fondue,19
Grüner Veltliner,10,grilled salmon,23
Riesling (dry),19,fondue,19
Sangiovese,20,chicken curry,13
Cava,3,grilled salmon,23
Grüner Veltliner,10,alfredo pasta,3
Nebbiolo,15,Thai curry,2
Cabernet Sauvignon,2,beef stew,7
Sangiovese,20,mushroom risotto,27
Chardonnay,5,chicken curry,13
Sauternes,21,fondue,19
Albariño,0,carbonara,9
Grüner Veltliner,10,cheese platter,11
Ice Wine,11,grilled salmon,23
White Zinfandel,27,gazpacho,20
Sangiovese,20,caprese salad,8
Merlot,14,grilled ribeye,22
Ice Wine,11,fish tacos,18
Sauternes,21,oysters,29
Sauvignon Blanc,22,chocolate mousse,14
Malbec,13,grilled ribeye,22
Grenache,9,gazpacho,20
Gewürztraminer,8,Thai curry,2
Sauvignon Blanc,22,vegetable curry,37
Cava,3,olives and cheese,28
Viognier,26,cheese platter,11
Nebbiolo,15,Thai curry,2
Chardonnay,5,alfredo pasta,3
Chardonnay,5,bacon burger,4
Madeira,12,fondue,19
Malbec,13,bbq ribs,6
Zinfandel,28,bbq ribs,6
Grüner Veltliner,10,stir-fried tofu,36
Sangiovese,20,caprese salad,8
Sauternes,21,chicken curry,13
Ice Wine,11,chicken curry,13
Nebbiolo,15,Indian vindaloo,0
Nebbiolo,15,grilled ribeye,22
White Zinfandel,27,grilled ribeye,22
Sauternes,21,stir-fried tofu,36
Chenin Blanc,6,beef stew,7
Gewürztraminer,8,Thai curry,2
Torrontés,25,Thai curry,2
Albariño,0,carbonara,9
Sauvignon Blanc,22,cream of mushroom soup,16
Syrah/Shiraz,23,bbq brisket,5
Sauvignon Blanc,22,grilled ribeye,22
Sangiovese,20,duck à l’orange,17
Sauternes,21,cheesecake,12
Sauternes,21,grilled salmon,23
Chardonnay,5,cheese platter,11
Sangiovese,20,caprese salad,8
Ice Wine,11,carbonara,9
Syrah/Shiraz,23,beef stew,7
Nebbiolo,15,grilled ribeye,22
Ice Wine,11,vegetable curry,37
Chardonnay,5,alfredo pasta,3
Barbera,1,grilled ribeye,22
Viognier,26,duck à l’orange,17
Malbec,13,smoked sausage,34
Pinot Noir,16,vegetable curry,37
Sauvignon Blanc,22,stir-fried tofu,36
Cava,3,mixed nuts,26
Cabernet Sauvignon,2,smoked sausage,34
Ice Wine,11,cheese platter,11
Port,17,chocolate mousse,14
Grenache,9,alfredo pasta,3
Malbec,13,bbq ribs,6
Grenache,9,pork tenderloin,30
Cabernet Sauvignon,2,grilled burger,21
Chardonnay,5,carbonara,9
Ice Wine,11,duck à l’orange,17
Ice Wine,11,shrimp scampi,33
Chardonnay,5,roast chicken with herbs,31
Pinot Noir,16,caprese salad,8
Albariño,0,shrimp scampi,33
Grenache,9,cream of mushroom soup,16
Malbec,13,beef stew,7
Cabernet Sauvignon,2,roast lamb,32
Sauternes,21,grilled salmon,23
Merlot,14,olives and cheese,28
Cava,3,fish tacos,18
Chardonnay,5,mac and cheese,25
Port,17,lemon tart,24
Barbera,1,cheese platter,11
Champagne,4,olives and cheese,28
Nebbiolo,15,roast lamb,32
Ice Wine,11,sorbet,35
Madeira,12,mac and cheese,25
Riesling (dry),19,Thai curry,2
Grenache,9,bacon burger,4
Grüner Veltliner,10,chocolate mousse,14
Ice Wine,11,roast chicken with herbs,31
Port,17,sorbet,35
Nebbiolo,15,grilled ribeye,22
Viognier,26,roast chicken with herbs,31
Gewürztraminer,8,Indian vindaloo,0
Merlot,14,alfredo pasta,3
Malbec,13,bbq brisket,5
Nebbiolo,15,alfredo pasta,3
Ice Wine,11,lemon tart,24
Chardonnay,5,duck à l’orange,17
Viognier,26,duck à l’orange,17
Merlot,14,mac and cheese,25
Ice Wine,11,smoked sausage,34
Cava,3,grilled salmon,23
Nebbiolo,15,roast lamb,32
Gewürztraminer,8,Indian vindaloo,0
Pinot Noir,16,gazpacho,20
Nebbiolo,15,shrimp scampi,33
Malbec,13,grilled ribeye,22
Ice Wine,11,chicken curry,13
Grenache,9,carbonara,9
Ice Wine,11,stir-fried tofu,36
Sangiovese,20,gazpacho,20
Riesling (dry),19,bbq brisket,5
Grenache,9,cream of mushroom soup,16
Ice Wine,11,chicken curry,13
Nebbiolo,15,Indian vindaloo,0
Sangiovese,20,caprese salad,8
Cava,3,mixed nuts,26
Ice Wine,11,chocolate mousse,14
Grenache,9,carbonara,9
Pinot Noir,16,vegetable curry,37
Syrah/Shiraz,23,beef stew,7
Ice Wine,11,vegetable curry,37
Port,17,cheese platter,11
Albariño,0,fish tacos,18
Viognier,26,duck à l’orange,17
Pinot Noir,16,stir-fried tofu,36
Sauvignon Blanc,22,chocolate mousse,14
Sauternes,21,smoked sausage,34
Grenache,9,alfredo pasta,3
Ice Wine,11,duck à l’orange,17
Sauternes,21,bbq ribs,6
Cabernet Sauvignon,2,beef stew,7
Albariño,0,carbonara,9
Champagne,4,grilled salmon,23
Sauvignon Blanc,22,fish tacos,18
Grüner Veltliner,10,stir-fried tofu,36
Cava,3,fish tacos,18
Ice Wine,11,smoked sausage,34
Grüner Veltliner,10,stir-fried tofu,36
Pinot Noir,16,mushroom risotto,27
Ice Wine,11,vegetable curry,37
Malbec,13,bbq brisket,5
Grüner Veltliner,10,stir-fried tofu,36
Madeira,12,roast lamb,32
Gamay (Beaujolais),7,mac and cheese,25
Grüner Veltliner,10,fish tacos,18
Sauternes,21,grilled salmon,23
Grüner Veltliner,10,grilled salmon,23
Sauternes,21,stir-fried tofu,36
Grüner Veltliner,10,vegetable curry,37
Riesling (dry),19,Indian vindaloo,0
Ice Wine,11,olives and cheese,28
Madeira,12,mac and cheese,25
Sauvignon Blanc,22,stir-fried tofu,36
Barbera,1,fondue,19
Zinfandel,28,grilled burger,21
Sauternes,21,chocolate mousse,14
Ice Wine,11,chocolate mousse,14
Syrah/Shiraz,23,roast lamb,32
Albariño,0,stir-fried tofu,36
Pinot Noir,16,mushroom risotto,27
Pinot Noir,16,duck à l’orange,17
Sauternes,21,pork tenderloin,30
Syrah/Shiraz,23,fondue,19
Sauternes,21,pork tenderloin,30
Malbec,13,roast lamb,32
Gewürztraminer,8,Sichuan noodles,1
Sauternes,21,duck à l’orange,17
Sauternes,21,duck à l’orange,17
Pinot Noir,16,duck à l’orange,17
Port,17,cheesecake,12
Chardonnay,5,pork tenderloin,30
Albariño,0,vegetable curry,37
Grenache,9,fondue,19
Albariño,0,chocolate mousse,14
Sauternes,21,fish tacos,18
Madeira,12,lemon tart,24
Champagne,4,grilled salmon,23
Sangiovese,20,gazpacho,20
Pinot Noir,16,gazpacho,20
Grenache,9,roast lamb,32
Viognier,26,bacon burger,4
Sauternes,21,grilled burger,21
Merlot,14,carbonara,9
Port,17,sorbet,35
Gamay (Beaujolais),7,beef stew,7
Grüner Veltliner,10,vegetable curry,37
Ice Wine,11,smoked sausage,34
Malbec,13,roast lamb,32
Cava,3,charcuterie board,10
Albariño,0,fish tacos,18
Syrah/Shiraz,23,bbq brisket,5
Pinot Noir,16,caprese salad,8
Grenache,9,mac and cheese,25
Nebbiolo,15,cheese platter,11
Ice Wine,11,bbq ribs,6
Port,17,lemon tart,24
Riesling (dry),19,Indian vindaloo,0
Viognier,26,grilled ribeye,22
Sauternes,21,duck à l’orange,17
Ice Wine,11,oysters,29
Gewürztraminer,8,fondue,19
Viognier,26,fondue,19
Cava,3,fish tacos,18
Tempranillo,24,fondue,19
Gamay (Beaujolais),7,fish tacos,18
Albariño,0,mac and cheese,25
Ice Wine,11,lemon tart,24
Sauternes,21,grilled burger,21
Cabernet Sauvignon,2,smoked sausage,34
Sauternes,21,lemon tart,24
Madeira,12,sorbet,35
Sauternes,21,duck à l’orange,17
Ice Wine,11,olives and cheese,28
Nebbiolo,15,shrimp scampi,33
Cabernet Sauvignon,2,grilled burger,21
Champagne,4,oysters,29
Albariño,0,lemon tart,24
Chardonnay,5,carbonara,9
Viognier,26,bacon burger,4
Chardonnay,5,cheese platter,11
Pinot Noir,16,gazpacho,20
Pinot Noir,16,duck à l’orange,17
Merlot,14,bacon burger,4
Viognier,26,duck à l’orange,17
Chardonnay,5,pork tenderloin,30
Ice Wine,11,mushroom risotto,27
Ice Wine,11,mushroom risotto,27
Sauternes,21,grilled burger,21
Syrah/Shiraz,23,bbq brisket,5
White Zinfandel,27,citrus salad,15
Albariño,0,vegetable curry,37
Port,17,mac and cheese,25
Cava,3,charcuterie board,10
Ice Wine,11,carbonara,9
Sauvignon Blanc,22,fish tacos,18
Albariño,0,vegetable curry,37
Pinot Noir,16,duck à l’orange,17
Cava,3,charcuterie board,10
Madeira,12,grilled ribeye,22
Pinot Noir,16,caprese salad,8
Madeira,12,cheese platter,11
Grüner Veltliner,10,shrimp scampi,33
Grüner Veltliner,10,sorbet,35
Chardonnay,5,chicken curry,13
Cava,3,charcuterie board,10
Sangiovese,20,caprese salad,8
Sauternes,21,sorbet,35
Sangiovese,20,roast chicken with herbs,31
Port,17,fondue,19
Albariño,0,carbonara,9
Grüner Veltliner,10,oysters,29
Viognier,26,bacon burger,4
White Zinfandel,27,bbq brisket,5
Malbec,13,bbq brisket,5
Ice Wine,11,lemon tart,24
Grüner Veltliner,10,cheesecake,12
Albariño,0,roast lamb,32
Sauternes,21,stir-fried tofu,36
Torrontés,25,roast lamb,32
Merlot,14,olives and cheese,28
Grüner Veltliner,10,grilled salmon,23
Chardonnay,5,carbonara,9
Chardonnay,5,mac and cheese,25
Ice Wine,11,stir-fried tofu,36
Gewürztraminer,8,grilled ribeye,22
Ice Wine,11,chocolate mousse,14
Merlot,14,cream of mushroom soup,16
Gewürztraminer,8,grilled ribeye,22
Ice Wine,11,fish tacos,18
Pinot Noir,16,gazpacho,20
Viognier,26,gazpacho,20
Sangiovese,20,stir-fried tofu,36
Sauvignon Blanc,22,cream of mushroom soup,16
Syrah/Shiraz,23,bbq ribs,6
Gamay (Beaujolais),7,mac and cheese,25
Merlot,14,bacon burger,4
Zinfandel,28,smoked sausage,34
Sauternes,21,pork tenderloin,30
Ice Wine,11,olives and cheese,28
Grenache,9,mixed nuts,26
Port,17,cheese platter,11
Grüner Veltliner,10,shrimp scampi,33
Sauvignon Blanc,22,shrimp scampi,33
Cabernet Sauvignon,2,grilled ribeye,22
Pinot Noir,16,mushroom risotto,27
Pinot Noir,16,gazpacho,20
Sauvignon Blanc,22,shrimp scampi,33
Gamay (Beaujolais),7,grilled salmon,23
Sauvignon Blanc,22,fish tacos,18
Sauternes,21,cheesecake,12
Barbera,1,fondue,19
Gamay (Beaujolais),7,beef stew,7
Pinot Noir,16,stir-fried tofu,36
Malbec,13,beef stew,7
Viognier,26,duck à l’orange,17
Viognier,26,carbonara,9
Viognier,26,mac and cheese,25
Cabernet Sauvignon,2,bbq ribs,6
Cava,3,grilled salmon,23
Syrah/Shiraz,23,bbq ribs,6
Chardonnay,5,bacon burger,4
Syrah/Shiraz,23,grilled burger,21
Malbec,13,grilled ribeye,22
Grenache,9,mixed nuts,26
Cava,3,oysters,29
Ice Wine,11,stir-fried tofu,36
Pinot Noir,16,grilled ribeye,22
Gamay (Beaujolais),7,grilled salmon,23
Madeira,12,sorbet,35
Pinot Noir,16,chicken curry,13
Viognier,26,duck à l’orange,17
Sangiovese,20,chicken curry,13
Gamay (Beaujolais),7,mac and cheese,25
Cava,3,charcuterie board,10
Viognier,26,alfredo pasta,3
Sauternes,21,olives and cheese,28
Gewürztraminer,8,roast lamb,32
Malbec,13,roast lamb,32
Cabernet Sauvignon,2,bbq ribs,6
Chardonnay,5,pork tenderloin,30
Madeira,12,cheese platter,11
Pinot Noir,16,mushroom risotto,27
Merlot,14,cream of mushroom soup,16
Cabernet Sauvignon,2,bbq ribs,6
Riesling (dry),19,Thai curry,2
Grüner Veltliner,10,lemon tart,24
Sauvignon Blanc,22,grilled salmon,23
Malbec,13,grilled burger,21
Sauvignon Blanc,22,shrimp scampi,33
Nebbiolo,15,bbq brisket,5
Sauternes,21,carbonara,9
Riesling (dry),19,Indian vindaloo,0
Sangiovese,20,duck à l’orange,17
Chardonnay,5,cream of mushroom soup,16
Ice Wine,11,shrimp scampi,33
Viognier,26,chicken curry,13
Madeira,12,mac and cheese,25
Gamay (Beaujolais),7,cheese platter,11
Albariño,0,stir-fried tofu,36
Viognier,26,bacon burger,4
Sauternes,21,chicken curry,13
Riesling (dry),19,fondue,19
Nebbiolo,15,oysters,29
Merlot,14,bacon burger,4
Merlot,14,olives and cheese,28
Sangiovese,20,mushroom risotto,27
Sauternes,21,caprese salad,8
Albariño,0,stir-fried tofu,36
Cabernet Sauvignon,2,beef stew,7
Cava,3,oysters,29
Sauternes,21,bacon burger,4
Sangiovese,20,bbq brisket,5
Grenache,9,bacon burger,4
Riesling (dry),19,Sichuan noodles,1
Grenache,9,olives and cheese,28
Sauvignon Blanc,22,shrimp scampi,33
Malbec,13,beef stew,7
Ice Wine,11,pork tenderloin,30
Ice Wine,11,cheesecake,12
Ice Wine,11,oysters,29
Sauternes,21,bbq ribs,6
Madeira,12,sorbet,35
Grenache,9,pork tenderloin,30
Sauternes,21,sorbet,35
Cabernet Sauvignon,2,smoked sausage,34
Ice Wine,11,mixed nuts,26
Gamay (Beaujolais),7,oysters,29
Nebbiolo,15,Indian vindaloo,0
Gewürztraminer,8,bbq brisket,5
Ice Wine,11,mushroom risotto,27
Torrontés,25,Thai curry,2
Champagne,4,oysters,29
Pinot Noir,16,caprese salad,8
Grüner Veltliner,10,mac and cheese,25
Syrah/Shiraz,23,bbq ribs,6
Sangiovese,20,gazpacho,20
Merlot,14,alfredo pasta,3
Torrontés,25,Thai curry,2
Cava,3,bbq brisket,5
Zinfandel,28,grilled burger,21
Cava,3,olives and cheese,28
Gamay (Beaujolais),7,shrimp scampi,33
Sauvignon Blanc,22,shrimp scampi,33
Malbec,13,smoked sausage,34
Torrontés,25,Thai curry,2
Cabernet Sauvignon,2,bbq brisket,5
Nebbiolo,15,pork tenderloin,30
Albariño,0,grilled salmon,23
Ice Wine,11,lemon tart,24
Sangiovese,20,caprese salad,8
Chardonnay,5,duck à l’orange,17
Grenache,9,cheese platter,11
Riesling (dry),19,Indian vindaloo,0
Port,17,cheese platter,11
Champagne,4,olives and cheese,28
Sangiovese,20,gazpacho,20
Cabernet Sauvignon,2,grilled ribeye,22
Cava,3,mac and cheese,25
Pinot Noir,16,caprese salad,8
Merlot,14,cream of mushroom soup,16
Grenache,9,beef stew,7
Grüner Veltliner,10,mushroom risotto,27
Cabernet Sauvignon,2,beef stew,7
Sauvignon Blanc,22,mushroom risotto,27
Gewürztraminer,8,Sichuan noodles,1
Gamay (Beaujolais),7,shrimp scampi,33
Sauvignon Blanc,22,grilled salmon,23
Chardonnay,5,pork tenderloin,30
Ice Wine,11,roast chicken with herbs,31
Champagne,4,grilled salmon,23
Grüner Veltliner,10,chocolate mousse,14
Sangiovese,20,roast chicken with herbs,31
Viognier,26,chicken curry,13
Grüner Veltliner,10,mushroom risotto,27
Malbec,13,fondue,19
Ice Wine,11,vegetable curry,37
Barbera,1,cheese platter,11
Syrah/Shiraz,23,mac and cheese,25
Cabernet Sauvignon,2,roast lamb,32
Chardonnay,5,cheese platter,11
Albariño,0,chocolate mousse,14
Sauvignon Blanc,22,stir-fried tofu,36
Malbec,13,cheese platter,11
Albariño,0,vegetable curry,37
Champagne,4,grilled salmon,23
Nebbiolo,15,shrimp scampi,33
Port,17,fondue,19
Chardonnay,5,beef stew,7
Zinfandel,28,grilled burger,21
Grenache,9,pork tenderloin,30
Viognier,26,pork tenderloin,30
Grüner Veltliner,10,stir-fried tofu,36
Syrah/Shiraz,23,bbq ribs,6
Viognier,26,alfredo pasta,3
Sauternes,21,chocolate mousse,14
Grüner Veltliner,10,alfredo pasta,3
Syrah/Shiraz,23,roast lamb,32
Sauternes,21,chocolate mousse,14
Chenin Blanc,6,cheese platter,11
Grenache,9,carbonara,9
Cava,3,mixed nuts,26
Nebbiolo,15,beef stew,7
Madeira,12,chocolate mousse,14
Madeira,12,chocolate mousse,14
Ice Wine,11,mac and cheese,25
Pinot Noir,16,roast chicken with herbs,31
Nebbiolo,15,fish tacos,18
Torrontés,25,Sichuan noodles,1
Nebbiolo,15,carbonara,9
Chardonnay,5,chicken curry,13
Ice Wine,11,pork tenderloin,30
Sangiovese,20,caprese salad,8
Viognier,26,chicken curry,13
Nebbiolo,15,oysters,29
Sauvignon Blanc,22,mac and cheese,25
Grüner Veltliner,10,vegetable curry,37
Sauvignon Blanc,22,carbonara,9
Gamay (Beaujolais),7,roast lamb,32
Albariño,0,sorbet,35
Nebbiolo,15,Thai curry,2
Sauvignon Blanc,22,vegetable curry,37
Port,17,cheese platter,11
Grenache,9,alfredo pasta,3
Nebbiolo,15,fish tacos,18
Gewürztraminer,8,fondue,19
Grüner Veltliner,10,vegetable curry,37
Nebbiolo,15,grilled ribeye,22
Sauternes,21,shrimp scampi,33
Ice Wine,11,roast chicken with herbs,31
Grüner Veltliner,10,lemon tart,24
Grüner Veltliner,10,alfredo pasta,3
Sauvignon Blanc,22,cream of mushroom soup,16
Madeira,12,sorbet,35
Sauternes,21,grilled salmon,23
Grenache,9,alfredo pasta,3
Grenache,9,roast lamb,32
Ice Wine,11,stir-fried tofu,36
Gamay (Beaujolais),7,fish tacos,18
Sauternes,21,carbonara,9
Ice Wine,11,grilled salmon,23
Grüner Veltliner,10,sorbet,35
Zinfandel,28,cheese platter,11
Albariño,0,chocolate mousse,14
Sauternes,21,stir-fried tofu,36
Ice Wine,11,mushroom risotto,27
Albariño,0,vegetable curry,37
Zinfandel,28,bbq ribs,6
Torrontés,25,gazpacho,20
Riesling (dry),19,caprese salad,8
Chardonnay,5,bacon burger,4
Ice Wine,11,shrimp scampi,33
Ice Wine,11,vegetable curry,37
Grüner Veltliner,10,vegetable curry,37
Cabernet Sauvignon,2,roast lamb,32
Cabernet Sauvignon,2,bbq brisket,5
Grüner Veltliner,10,grilled salmon,23
Sauternes,21,pork tenderloin,30
Viognier,26,pork tenderloin,30
Nebbiolo,15,Sichuan noodles,1
Gewürztraminer,8,Indian vindaloo,0
Nebbiolo,15,bacon burger,4
Sauternes,21,duck à l’orange,17
Pinot Noir,16,fondue,19
White Zinfandel,27,beef stew,7
Madeira,12,beef stew,7
Cabernet Sauvignon,2,mac and cheese,25
Port,17,fondue,19
Port,17,mac and cheese,25
Sauternes,21,chocolate mousse,14
Ice Wine,11,mac and cheese,25
Sauternes,21,bacon burger,4
Grenache,9,pork tenderloin,30
Chardonnay,5,fondue,19
Malbec,13,bbq brisket,5
Albariño,0,cream of mushroom soup,16
Ice Wine,11,grilled burger,21
Merlot,14,olives and cheese,28
Ice Wine,11,carbonara,9
Zinfandel,28,fondue,19
Syrah/Shiraz,23,roast lamb,32
Sauternes,21,mushroom risotto,27
Sangiovese,20,mac and cheese,25
Grüner Veltliner,10,stir-fried tofu,36
Port,17,roast lamb,32
Merlot,14,pork tenderloin,30
Chardonnay,5,chicken curry,13
Albariño,0,mushroom risotto,27
Albariño,0,shrimp scampi,33
Ice Wine,11,chocolate mousse,14
Merlot,14,carbonara,9
Ice Wine,11,mushroom risotto,27
Grüner Veltliner,10,grilled ribeye,22
Syrah/Shiraz,23,smoked sausage,34
Gamay (Beaujolais),7,fondue,19
Grenache,9,alfredo pasta,3
Malbec,13,roast lamb,32
Sauternes,21,bbq ribs,6
Merlot,14,bacon burger,4
Chardonnay,5,cream of mushroom soup,16
Chardonnay,5,alfredo pasta,3
Zinfandel,28,grilled burger,21
Ice Wine,11,chocolate mousse,14
Sangiovese,20,duck à l’orange,17
Port,17,cheese platter,11
Ice Wine,11,roast chicken with herbs,31
Grenache,9,bacon burger,4
Sangiovese,20,vegetable curry,37
Grenache,9,mixed nuts,26
Grüner Veltliner,10,mac and cheese,25
Sangiovese,20,duck à l’orange,17
Cabernet Sauvignon,2,bbq brisket,5
Chardonnay,5,mac and cheese,25
Port,17,sorbet,35
Sauternes,21,fish tacos,18
Sauternes,21,mushroom risotto,27
Madeira,12,cheesecake,12
Ice Wine,11,duck à l’orange,17
Pinot Noir,16,stir-fried tofu,36
Nebbiolo,15,grilled ribeye,22
Ice Wine,11,mixed nuts,26
Sauternes,21,sorbet,35
Champagne,4,oysters,29
Sauternes,21,roast chicken with herbs,31
Ice Wine,11,cheesecake,12
Chardonnay,5,bbq brisket,5
Ice Wine,11,olives and cheese,28
Sauternes,21,bbq ribs,6
Champagne,4,oysters,29
Champagne,4,charcuterie board,10
Pinot Noir,16,caprese salad,8
Ice Wine,11,mushroom risotto,27
Champagne,4,fish tacos,18
Sauternes,21,stir-fried tofu,36
Albariño,0,lemon tart,24
Grüner Veltliner,10,vegetable curry,37
Albariño,0,sorbet,35
Viognier,26,bacon burger,4
Grüner Veltliner,10,cheesecake,12
Syrah/Shiraz,23,roast lamb,32
Champagne,4,beef stew,7
Nebbiolo,15,grilled salmon,23
Madeira,12,lemon tart,24
Syrah/Shiraz,23,beef stew,7
Nebbiolo,15,beef stew,7
Chardonnay,5,roast chicken with herbs,31
Viognier,26,mac and cheese,25
Pinot Noir,16,mushroom risotto,27
Albariño,0,sorbet,35
Sauternes,21,grilled burger,21
Cava,3,grilled salmon,23
Champagne,4,shrimp scampi,33
Riesling (dry),19,Thai curry,2
Nebbiolo,15,cheese platter,11
Chardonnay,5,duck à l’orange,17
Ice Wine,11,vegetable curry,37
Torrontés,25,Sichuan noodles,1
Cava,3,roast lamb,32
Nebbiolo,15,Thai curry,2
Malbec,13,grilled burger,21
Grüner Veltliner,10,chocolate mousse,14
Port,17,cheese platter,11
Grenache,9,carbonara,9
Grenache,9,mixed nuts,26
Viognier,26,carbonara,9
Albariño,0,shrimp scampi,33
Grenache,9,cream of mushroom soup,16
Grüner Veltliner,10,chocolate mousse,14
Nebbiolo,15,fondue,19
Nebbiolo,15,bacon burger,4
Merlot,14,carbonara,9
Ice Wine,11,smoked sausage,34
Port,17,fondue,19
Albariño,0,carbonara,9
Merlot,14,olives and cheese,28
Chardonnay,5,chicken curry,13
Grenache,9,charcuterie board,10
Cabernet Sauvignon,2,bbq brisket,5
Riesling (dry),19,Sichuan noodles,1
Cabernet Sauvignon,2,smoked sausage,34
Merlot,14,pork tenderloin,30
Grenache,9,mixed nuts,26
Chenin Blanc,6,citrus salad,15
Sauternes,21,smoked sausage,34
Ice Wine,11,grilled salmon,23
Malbec,13,bbq brisket,5
Chardonnay,5,bacon burger,4
Riesling (dry),19,fondue,19
Cabernet Sauvignon,2,bbq ribs,6
Cava,3,charcuterie board,10
Cabernet Sauvignon,2,cheese platter,11
Malbec,13,beef stew,7
Grüner Veltliner,10,beef stew,7
Cabernet Sauvignon,2,grilled burger,21
Nebbiolo,15,cream of mushroom soup,16
Sauternes,21,mixed nuts,26
Sauternes,21,mushroom risotto,27
Ice Wine,11,bacon burger,4
Ice Wine,11,shrimp scampi,33
White Zinfandel,27,citrus salad,15
Pinot Noir,16,duck à l’orange,17
Zinfandel,28,grilled ribeye,22
Grenache,9,mixed nuts,26
Madeira,12,fondue,19
Chardonnay,5,pork tenderloin,30
Chenin Blanc,6,beef stew,7
Chardonnay,5,roast chicken with herbs,31
Sauvignon Blanc,22,alfredo pasta,3
Viognier,26,cheese platter,11
Albariño,0,cream of mushroom soup,16
Ice Wine,11,shrimp scampi,33
Champagne,4,beef stew,7
Torrontés,25,Sichuan noodles,1
Sangiovese,20,chicken curry,13
Nebbiolo,15,beef stew,7
Ice Wine,11,grilled salmon,23
Gamay (Beaujolais),7,fish tacos,18
Chardonnay,5,mac and cheese,25
Merlot,14,pork tenderloin,30
Port,17,cheese platter,11
Ice Wine,11,shrimp scampi,33
Grenache,9,olives and cheese,28
Grüner Veltliner,10,sorbet,35
Sangiovese,20,fondue,19
Pinot Noir,16,stir-fried tofu,36
Chardonnay,5,duck à l’orange,17
Sangiovese,20,roast chicken with herbs,31
Port,17,cheese platter,11
Zinfandel,28,grilled burger,21
Nebbiolo,15,Sichuan noodles,1
Cabernet Sauvignon,2,smoked sausage,34
Barbera,1,roast lamb,32
Chardonnay,5,cream of mushroom soup,16
Chardonnay,5,mac and cheese,25
Sauvignon Blanc,22,vegetable curry,37
Madeira,12,cheese platter,11
Pinot Noir,16,stir-fried tofu,36
Grüner Veltliner,10,mushroom risotto,27
Albariño,0,cream of mushroom soup,16
Grüner Veltliner,10,cream of mushroom soup,16
Malbec,13,bbq brisket,5
Sangiovese,20,duck à l’orange,17
Chardonnay,5,roast chicken with herbs,31
Malbec,13,smoked sausage,34
Grüner Veltliner,10,oysters,29
Nebbiolo,15,carbonara,9
Tempranillo,24,beef stew,7
Merlot,14,bacon burger,4
Merlot,14,pork tenderloin,30
Grüner Veltliner,10,bbq brisket,5
Merlot,14,cream of mushroom soup,16
Champagne,4,mixed nuts,26
Sangiovese,20,duck à l’orange,17
Chardonnay,5,pork tenderloin,30
